------;X-----;-M----;XM----;--P---;X-P---;-MP---;XMP---;---R--;X--R--;-M-R--;XM-R--;--PR--;X-PR--;-MPR--;XMPR--;----H-;X---H-;-M--H-;XM--H-;--P-H-;X-P-H-;-MP-H-;XMP-H-;---RH-;X--RH-;-M-RH-;XM-RH-;--PRH-;X-PRH-;-MPRH-;XMPRH-;-----L;X----L;-M---L;XM---L;--P--L;X-P--L;-MP--L;XMP--L;---R-L;X--R-L;-M-R-L;XM-R-L;--PR-L;X-PR-L;-MPR-L;XMPR-L;----HL;X---HL;-M--HL;XM--HL;--P-HL;X-P-HL;-MP-HL;XMP-HL;---RHL;X--RHL;-M-RHL;XM-RHL;--PRHL;X-PRHL;-MPRHL;XMPRHL
4384;4384;4384;4384;4384;4384;4384;4384;3867;4384;3865.8;3867;4384;4384;4384;4384;4384;4384;4384;4384;291.7;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;1339;4384;4384;4384;2203;4384;4384;4384;4384;3865.8;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;277.1;4384
4288;4288;4288;3659;3303.6;4288;4288;4288;2555;4288;3658.9;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;3354.4;2516.3;4288;2712.2;4288;4288;3078.5;4288;4288;4288;2948.5;4288;3387.6;3265.9;4288;4288;4288;2811;4288;3380;4288;4288;4288;4288;4288;4288;4288;3014.1;4288;4288;4288;4288;4288;3351.1;3582.1;3100.8;4288;4288;2993.9;4288;4288;4288;4288
3067;3067.6;4352;4352;4352;4352;4352;4352;3028;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;3061.7;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;3169.2;4352;4352;4352;4352;3723.4;4352;4352;4352;4352;3067;4352;4352;4352;4352;4352;4352;4352;3881.8;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352
4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;701.9;3206.5;723.2;2470.8;4224;4224;4224;4224;4224;4224;2816.2;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;2843.6;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;3243.6;4224;4224;4224;4224;4224;4224;4224;883.5;4224
4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;2793.8;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320
459;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;3287.4;4288;4288;4288;3864.5;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;3003.5;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288
4022;4384;4384;4384;3905.2;4384;4384;4384;4384;4384;3380;4384;4384;4384;4384;4384;4384;4384;4384;4384;3332;4384;2680.9;4384;4384;3707.6;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384
4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;1542.8;4272;4272;4272;4272;4272;4272;573.9;2392.4;4272;4272;3259;4272;4272;4272;2785.1;4272;4272;4272;4272;4272;4272;4272;1979;4272;4272;4272;4272;4272;4272;4272;523.6;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;555;4272
4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;1056.2;1033.4;1033.7;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;3926.5;4224;4224;4224;4224;4224;4224;4224;4224;4224
4240;4240;2394.6;4240;1979;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;1931.6;4240;1978.4;4240;1931.9;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;1931.6;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;1702.2;4240;2388.2;4240;4240;4240;4240;4240;4240;4240;4240;4240
4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;1854.9;4224;1123.7;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;1869.9;4224;4224;4224;4224;4224;4224;4224;1943.1;4224;4224;4224;4224;4224;4224;4224;1925.6;1113
1759.4;4256;737.8;4256;4256;4256;3720.3;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;3478.3;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256
4256;635.6;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;2298.4;4256;4256;4256;4256;4256;1178.2;4256;3660.8;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;1178.9;4256;4256;4256;4256;4256;4256
4256;4256;1707;1707;4256;4256;1067;1104.2;4256;4256;4256;1707;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;3824.1;1067.4;4256;4256;4256;4256;4256;4256;4256;4256;3915.4;4256;1067.6;4256;4256;4256;4256;4256;4256;1707;4256;1067;4256;4256;1048.8;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256
4256;4256;4256;4256;1307;1307;1304.8;4256;4256;4256;3976.7;4256;4256;4256;4256;4256;4256;4256;4256;4256;2311;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;1307.6;3451;4256;4256;3772.5;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256
4368;4368;4368;4368;4368;3257.4;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;3234.8;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;3275;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;3867;4368;965.9;4368
4288;4288;4288;1915;4288;3857.5;3461;4288;4288;4288;4288;4288;4288;4288;4288;4288;4055.8;4288;4288;4288;1886.3;4288;291.4;4288;4288;4288;3291;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;3270.7;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288
4256;4256;4256;427;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;2835.6;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;1291;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256
4256;4256;3195;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;318.8;2542.7;2789.6;3337.3;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;1707.6;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256
1125.4;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;3281.9;4156.8;3628.1;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352
4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;3261.8;4304;3246.1;1818.5;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;2874.6;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304
4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;2505.6;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;2331;3035.6;4368;4368;4368;4368;4368;4368;4368;4368
4352;4352;4352;4352;4352;3012.2;4352;2811;4352;2811;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352
4304;4304;4304;4304;571.6;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304
4256;4256;750.3;3736.6;1595;4256;1558.3;1595.6;4256;4256;4256;4256;4256;4256;4256;4256;4256;3740.2;3195;4256;4256;4256;4256;4256;4256;4256;1804.8;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;1595;1762.2;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;1595.6;4256;1847.5;4256;4256;3623.5;4256;4256;2156.8;3290.8
4224;4224;4224;4224;395.6;4224;4224;4224;4224;4224;4224;3706.2;4224;4224;4224;4224;4224;4224;4224;4224;1874.8;4224;4224;1884.9;4224;4224;4224;4224;4224;4224;4224;4224;4224;3891.2;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224
3162.4;3162.4;4320;2475.5;3799.9;4320;4320;4320;3163.6;3163;4320;4320;4320;4320;4320;4320;2328.7;4320;4320;4320;4320;4320;1403.6;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;3619.5;4320;4320;4320;4320;4320
4224;4224;523.6;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;522.9;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;1653.2;4224;4224;4224;4224;4224;4224;4224;4224;4224
4091;4272;1394.7;4272;2267;4272;4272;4272;1350.3;4272;1813.2;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;2929.7;2923.4;4272;4272;4272;3819;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272
3803;4320;4320;4320;4320;4320;3063.3;4320;4320;4320;4320;1547;4320;4320;4320;4320;4320;4320;4320;4320;3056.7;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;1547;4320;4320;4320;4320;4320;4320;4320;650.1;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320
4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;2235.6;4240
4288;4288;4288;1707.6;4288;4288;4288;4288;4288;1681.2;3865.8;4288;4288;4288;1461.4;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;2731.8;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;1678.8;4288
4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400
4240;4240;4240;4240;4240;4240;4240;4240;4240;2043;2043.6;4240;4240;4240;4240;4240;4240;4240;4240;4240;468.9;457;466.2;1896.1;4240;4240;4240;4240;4240;4240;1856.3;4240;4240;4240;4240;1899;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;257.1;4240;4240;4240;2091.6;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;223.5;235.4
3867.6;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;524.7;4304;514.8;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;1211.6;4304;4304;4304;4304;4304;3848.5;4304;4304;1211;4304;4304;4304;2125.9;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304
4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;1416.7;1419.8;1397.8;1412.3;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224
4368;4368;4368;4368;4368;4368;2473.6;4368;4368;3659;1355;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;1911.9;4368;4368;4368;4368;4368;4368;4368;4368;4368;1347.4;4368;4368;3659;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;2224.8;4368;4368;4368;4368;1686.1
4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;3067.6;4304;3249.7;1547;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304
4352;4352;1675;3847.8;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;2955;4352;2763.6;1587;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;3033.1;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;3365.3;4352;4352;4352;4352;4352
4336;4336;4336;4336;4336;2102.3;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;679.1;4336;673.9;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;621.9;677.2;4074.4;4336;4336;4336;4336;4336;2963.8;4336;4336;4336;4336;4336;4336;4336;678.7;668.6
4240;3739.6;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;1891.7;4240;1905.4;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;3163;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;3576.2;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240
4304;4304;4304;4304;4304;1614.9;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;1339;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;1617.5;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;2880.9;4304;4304;4304;4304;4304;4304;4304;4067.8;4304;4304;4304;4304;4304;4304;4304;4304;4304
4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;1947;4224;4224;4224;4224;4224;4224;4224;4224;3246;4224;4224;4224;4224;4224;4224;4224;4224
4272;875;4272;4272;4272;4272;875;4272;4272;4272;4272;875;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;875;4272;4272;4272;4272;4272;4272;4272;4272;3882.7;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;2507.5;4272;4272;4272;4272;4272;4272;4272;4272;4272
4368;1403;1402.9;4368;4368;4368;4368;4368;4368;1691;4368;3722.4;4368;4368;4368;4368;4368;4368;4368;4368;4368;1688.7;1952.5;4368;4368;4368;4368;3723;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;2906.9;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368
4272;4272;4272;1721.8;4272;4272;4272;4272;1721.8;1723;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;288.7;1717.3;480.7;478.8;4272;4272;4272;4272;4272;4272;449.3;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;465.2;4272
4224;4224;4224;4224;4224;4224;4224;4224;1899.6;4224;4224;4224;3079.9;4224;4224;3082.6;4224;4224;4224;4224;1886.1;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;1890.4;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224
4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;3225.9;1251.9;4272;1241.4;3883;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;3298.5;4272;3668.9;4272;4272;4272;4272;3193.9;4272;4272
3003;4320;4320;4320;4320;4320;4320;4320;4320;4320;1916.9;4320;4320;4320;4320;4320;4320;4320;3960.4;4320;280.9;258.6;264.3;553.8;4320;4320;1179;3802.9;4320;4320;567.1;4320;4320;4320;1179;4320;2767.8;4320;4320;4320;4320;4320;443;443;4320;4320;1723.6;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;2537.4;4320
