------;X-----;-M----;XM----;--P---;X-P---;-MP---;XMP---;---R--;X--R--;-M-R--;XM-R--;--PR--;X-PR--;-MPR--;XMPR--;----H-;X---H-;-M--H-;XM--H-;--P-H-;X-P-H-;-MP-H-;XMP-H-;---RH-;X--RH-;-M-RH-;XM-RH-;--PRH-;X-PRH-;-MPRH-;XMPRH-;-----L;X----L;-M---L;XM---L;--P--L;X-P--L;-MP--L;XMP--L;---R-L;X--R-L;-M-R-L;XM-R-L;--PR-L;X-PR-L;-MPR-L;XMPR-L;----HL;X---HL;-M--HL;XM--HL;--P-HL;X-P-HL;-MP-HL;XMP-HL;---RHL;X--RHL;-M-RHL;XM-RHL;--PRHL;X-PRHL;-MPRHL;XMPRHL
4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;3726.2;4384;3641.4;4384;4384;1213.8;3988.1;936.6;966.4;4384;4384;4384;4384;4384;4384;1269;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384
4288;4288;4288;3547;4288;4288;4288;4288;4288;4288;2779;4288;4288;4288;4288;4288;4288;4288;4288;4288;2771.8;4288;2763.9;4288;4288;4288;3663.3;4288;4288;4288;4288;4288;4288;2778.4;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288
971;4304;4304;4304;3727;4304;4304;4304;4304;971.6;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;288.3;1356.2;294.8;1766;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304
4336;4336;4336;1243;4336;4336;4336;4336;2219.6;1243;4336;4336;4336;4336;4336;4336;4336;4336;4336;4123;1428.2;3808.8;350.5;2226.2;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;1243;4336;3460.5;4336;4336;4336;3835;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;3404.2;4336;3643;4336;4336;4336;4336;4336;4336;4336;4336;4336
4304;4304;4304;4304;4304;4304;4304;3051;4304;4304;4304;3567.1;4304;4304;4304;4304;4304;2567.5;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;1707;4304;4304;4304;1876.5;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304
2655.5;4368;4368;4368;4368;4368;4368;4368;4368;1690.9;4368;4368;4368;4368;4368;4368;4368;1397.6;4368;4368;500.4;4368;509.4;4368;4100.2;4368;4368;4368;4368;4368;4368;4368;4368;4368;1691;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;2037.8;4368;4368;4368;4368;4368;3607.5;4368;4368;4368;4368;4368;4368;4368;4368;4368
4240;3035.6;4240;4240;4240;4240;4240;3318.8;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;3654;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;3660.2;3367.4;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;2701.6;4240;4240;4240;4240;4240;4240;4240;4240;4240
4240;4240;4240;555;4240;3731;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;554.2;3188;546.4;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;3819.6;3819;4240;4240;4240;1932.1;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240
2437.8;4240;4240;4240;4240;4240;4240;4240;4240;1546.4;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;3748.5;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240
1946.9;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;331;2086.4;341.6;355.7;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240
4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;2747;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256
4416;4416;4416;4416;3862.2;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;403.3;4416;3062.5;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;1987.1;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416;4416
4352;4352;4352;4352;923;4352;4352;4352;4352;4352;923;4352;4352;4352;4352;923.6;4352;4352;4352;4352;892.3;2441.2;922.9;3075.6;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;929.3;4352;4352;4352;4352;4352;922.4;4352;4352;4352;4352;4352;4352;4352;923.2;4352;4352;4352;4352;4352;4352;4352;4352;4352
4288;4288;4288;4288;4288;4288;4288;4288;4288;2875;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;3933.2;4288;631.3;3125.1;4288;4288;4288;3035.6;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;634.9;4288;4288;2875;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;1375.9;4288;4288;4288;4288;4288
4304;4304;4304;4304;4304;4304;4304;4304;4304;3515;3387;4304;4304;4304;3739;4304;4304;4304;3515.6;2317.3;4304;2290.4;4193.6;4304;4304;4304;4304;4304;4304;4304;3381.2;4304;4304;4304;4304;4304;4304;4304;4304;2337.6;4304;3737.2;4304;4304;4304;2845.6;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;3510;4304;4304;4304;4304;4304;4304
4256;4256;4256;4256;3675.9;4256;4256;4256;4256;3673.8;4256;4256;3675.5;4256;1211.6;4256;4256;4256;4256;4256;397;2416.9;2404.1;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;3675.6;4256;4256;4256;4256;4256;4256;1674.4;4256;4256;3651.9;3675;4256;390.3;1276.1;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;390.6;1218.5
4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;3744.1;2484.6;2849;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224
4288;4288;4288;1243;1530.4;1994.2;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;2244;4288;4288;4288;4288;4288;4288;4288;4288;1571.9;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;1530.9;4288;4288;4288;4288;4288;1531;4288;4288;4288;4288;3700.1;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288
4240;4240;1883;4240;4240;4240;4240;4240;2087.6;4240;1883;4240;4240;4240;4240;4240;4240;4240;4240;4240;2994.8;1689.8;685.9;1673.1;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4037.7;4240;4240;4240;4240;4240;2068;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240
3451;4224;763.6;1914.4;4224;4224;4224;4224;4224;4224;4224;2619;4224;4224;4224;4224;1339.6;4224;4224;4224;1920.3;1596.3;1597.6;955.4;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;763;4224;4224;1578.1;4224;1582.2;4224;4224;4224;4224;4224;4224;4224;4224;3929.1;4224;4224;4224;4224;4224;4224;1339.6;4224;4224;4224;4224;4224;4224;4224
4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;2347;4352;2395.6;4352;2586.3;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;2395.6;4352;4352;4352;4352;4352;4352;4352;4352;2663.6;4352;4352;4352;4352;4352;4352
4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;667;4240;4240;4240;4240;4240;4240;4240;4240;4240;483.6;4240;499.5;662.6;4240;4240;4240;4240;2903.9;4240;4240;4240;4240;4240;4240;667.6;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;470.9;4240
4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;3115.2;4304;4304;4304;4304;3347;2848.4;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;2215.6;4304;4304;4304;4304;4304;4304;4304;4304;4304
4352;4352;4171;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;3624.6;4352;4352;4352;4352;4352;4352;4352;4352;4352;4142.7;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;613.2;4352
4272;4272;4272;4272;4272;4272;3945.1;4272;4272;2187;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;3473.8;4272;2169.4;2161.6;4272;4272;4272;4272;3924;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272
4224;4224;4224;2768.1;4224;4224;2794.8;2795;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;606.3;4224;611.8;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;2774.7;4224;4224;4224;4224;4224;4224;4224;3596.4;4224;4224;2795.6;4224;4224;4224;4224;4224;4224;4224;4224;2795;4224;4224;4224;4224;4224;4224;4224;4224;4224
4240;4240;4240;4240;4240;4240;4240;4240;4240;1179;4240;2859.6;4240;4240;4240;4240;4240;4240;4240;4240;1176.4;4240;3020.3;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;2887.8;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240
4224;3323;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;3449.9;4224;4224;4224;4224;4224;4224;3302.2;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;3467;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224
4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;392.6;4368;378.6;4368;4368;4368;4368;3963;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4130.4;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;244.3;4368
4224;4224;2235;2233.8;4224;4224;4224;4224;4224;539;4224;4224;4224;4224;4224;4224;4224;4224;2653.3;4224;524.6;519.8;539.9;2858.7;4224;267;4224;4224;3848.4;4224;4224;4224;4224;4224;4224;2649.8;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224
1321.1;3771.6;4272;3403;1323;4272;4272;4272;4272;4272;1851;4272;4272;4272;4272;4272;4272;4272;4272;1561.9;1822.9;4272;1846.1;4272;1838.1;4272;4272;4272;4272;4272;1406.3;4272;4272;4272;4272;1851;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272
4256;4256;4256;4256;4256;4256;4256;4256;4256;1259;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;1653.9;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;3420.1
4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;3787.6;3708.1;407.3;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;2685.5;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;3445.9;4240;2750.2;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240
4320;4320;4320;4320;4320;4320;1113.8;4320;4320;4320;4320;2891;4320;4320;4320;4320;4320;4320;4320;4320;1484.3;4320;2891;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320
4352;3947.9;1159.4;4352;4352;4352;1179;4352;1145.5;4352;3625;1166.5;4352;4352;4352;4352;4352;4352;3985.8;4352;3624.5;4034.9;4352;4352;4352;4352;4352;4352;4352;2843;2310.2;4352;4352;3945.4;4352;4352;3291;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;3787.9;4352;3668;4352;2607;4352;4352;3783.1;4352;4352
4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4098.2;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;2971.6;4320;4320;4320;4320
4224;4224;4224;4224;4224;4224;4224;4224;538.9;4224;3467;4224;4224;4224;4224;4224;4224;4224;4224;4224;3463.3;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;3467;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224
4336;4336;4336;3003.5;1780.5;4336;3035.6;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;1151.6;4336;4336;2827;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;2103.2;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336
1851;4320;4320;3547.6;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;2471.9;1633.7;4320;1837.2;4320;3547;4320;3547.8;3483.6;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;1851;4320;4320;4320;4320;4320;4320;4320;4320;3483;4320;4320;4320;2212;4320;4320;4320;4320;4320;4320;4320;4320;4320
4336;4336;4336;4336;4336;3265.9;4336;4336;4336;1755;4336;3043.1;4336;4336;4336;4336;1744.7;4336;3545.2;4336;1723.7;1727.3;1759.9;4336;4336;1319.8;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;3022.5;4336;4336;3209.4;4336;4336;4336;4336;4336;4336
2235;4240;4240;4240;4240;3643.6;4240;4240;4240;2235;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;2217;2236;4240;4240;3723;4240;4240;4240;4240;4240;4240;4240;4240;665.8;4240;4240;4240;4240;2235;4240;1997.7;4240;4240;4240;4240;4240;3854.8;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240
4224;4224;4224;4224;4224;4224;4224;4224;4224;3867;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;2100.4;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;1237.2;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;226.5;3158
2615.4;3369.1;4240;4240;4240;4240;4240;4240;4240;2619.6;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;2619;2581.2;2602.4;4240;3818.9;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;3399.3;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;3418.7;4240;4240;4240;4240
4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;290.3;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;3592.3;4304;4304;4304;1915.6;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304
4336;1622.3;1465.6;4336;1623;1624.3;4336;4336;4336;4336;1624.9;4336;4336;4336;4336;3754.4;4336;4336;2986.8;4336;3743.7;4336;2333.4;4147.8;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;1659;1628.4;4336;4336;4336;4336;4336;4336;1622.9;4336;4336;4336;2269.9;4336;989.2;4336;4336;1481;4336;3741.3;4336;4336;4336;4336;4336;4336;4336;4336;2332.1;2322.6
4288;4288;4288;4288;4288;4288;3499;3499;4288;4288;4288;4288;4288;3499;4288;3499;4288;3498.5;4288;4288;3830.1;4133.1;1257.7;3513.8;4288;4288;4288;4288;4288;4288;4288;4288;4288;3499;4288;4288;4288;4288;4288;3498.9;4288;4288;3835;4288;3498.9;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288
4320;4320;4320;4320;4320;4320;2165.8;4320;4320;4320;4320;4320;4320;4320;4320;4147.5;4320;4320;4320;4320;4320;4320;3274.5;3261.7;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;3795.8;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;2163.3;4320;4320;4320;4320;4320;4320;4320;4320
971;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;804.1;4272;817.5;829.1;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;827.6;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272
4256;4256;2979;4256;3741.1;4256;4256;3763.5;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;3760.6;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;3782.6;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;4256;2911.2;2878.1
4352;4352;2379;4352;4352;4352;4352;4352;2379.6;491;2378.4;4352;4352;4352;1110.9;4352;4352;4352;2264.4;4352;4352;4352;1182.8;4352;4352;4352;4352;4352;4352;4352;4352;4352;2147.7;2156;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;1721.6;4352;4352;4352;4352;4352;4352
4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;1540;1523.9;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;811;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224
